goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0,1,0,32,56.14,1,16.67,15,57.69,7,1,84.47,33,52.38,635,10,5,5,9,0,0,0,6,1,0,0,0,0,81,2,174,18,20,36.36,13,76.47,1,2,6,0,18,7,6,0.0,0,1,0.87,0,0,0,Yusuf Sarı,Başakşehir FK,896364,3086
0,0,0,5,83.33,0,0.0,0,0.0,3,0,85.71,5,83.33,42,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,12,0,0,0.0,2,66.67,1,1,0,0,0,0,0,0.0,0,0,,0,0,0,Oghenekaro Etebo,Gençlerbirliği,839110,7802
0,0,0,0,0.0,0,0.0,0,0.0,0,0,69.23,0,0.0,23,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,9,0,0,0.0,5,55.56,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Sokratis Dioudis,Gaziantep FK,173933,5138
0,1,0,8,57.14,1,33.33,3,42.86,3,0,72.22,9,52.94,114,2,2,0,2,0,0,0,0,0,0,0,0,0,6,1,13,2,1,100.0,0,0.0,2,3,0,0,0,0,0,0.0,0,0,,0,0,0,Ruan,Göztepe,868049,3054
0,0,0,6,50.0,0,0.0,2,50.0,4,0,86.27,6,46.15,105,0,0,3,2,0,0,0,2,0,0,0,0,0,23,0,44,3,1,33.33,4,80.0,0,1,1,0,2,1,1,0.0,0,2,0.23,0,0,0,João Mário,Beşiktaş JK,97001,3050
0,5,0,54,60.0,26,65.0,3,100.0,25,0,89.54,80,61.54,1414,27,26,1,16,0,0,0,12,0,0,0,0,0,43,2,736,4,2,22.22,32,42.11,22,68,9,0,3,1,1,0.0,0,0,0.09,0,0,0,Fidan Aliti,Alanyaspor,385296,6362
0,0,0,2,66.67,7,87.5,0,0.0,2,0,86.27,9,81.82,99,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,44,0,0,0.0,1,25.0,1,7,1,0,1,0,0,0.0,0,0,0.06,0,0,0,Yiğit Efe Demir,Fenerbahçe,1133200,3052
0,5,0,30,58.82,24,55.81,0,0.0,17,0,86.32,54,57.45,1016,13,12,3,12,0,0,0,8,2,0,0,0,0,38,1,448,5,0,0.0,40,50.0,13,61,4,1,2,0,0,0.0,0,1,0.21,1,0,0,Botond Balogh,Kocaelispor,983510,3065
4,1,0,31,41.89,3,75.0,15,44.12,9,1,80.93,34,43.59,817,7,9,11,11,0,0,0,10,2,0,0,0,0,71,2,191,8,2,22.22,1,14.29,3,3,5,2,19,9,5,21.05,1,3,3.08,0,0,0,Jesurun Rak-Sakyi,Çaykur Rizespor,1101362,3064
0,2,0,2,100.0,6,100.0,0,0.0,0,0,68.42,8,100.0,810,6,0,0,9,33,14,17,9,2,13,2,2,3,5,0,156,0,0,0.0,44,38.94,0,6,0,0,0,0,0,0.0,0,0,,1,0,0,Ersin Destanoğlu,Beşiktaş JK,913656,3050
0,0,0,43,78.18,9,33.33,4,100.0,23,0,88.74,52,63.41,1530,16,6,0,17,0,0,0,22,2,0,0,0,0,86,0,749,4,0,0.0,76,62.3,15,67,6,0,3,1,0,0.0,0,2,0.44,0,0,0,Robin Yalçın,Eyüpspor,138154,7040
8,0,0,38,37.25,12,41.38,11,39.29,13,0,81.05,50,38.17,1041,16,20,17,16,0,0,0,11,1,0,0,0,0,48,1,124,5,2,22.22,2,66.67,5,6,12,7,32,18,7,25.0,3,3,4.15,0,0,0,Felipe Augusto,Trabzonspor,1106681,3051
6,0,1,37,38.14,43,40.95,14,45.16,13,2,59.72,80,39.6,1324,10,23,19,16,0,0,0,5,2,0,0,0,0,86,8,126,27,2,18.18,6,66.67,4,5,6,4,28,15,5,21.43,0,11,4.7,0,0,0,Juan Santos da Silva,Göztepe,1009928,3054
0,2,1,61,58.1,11,40.74,7,35.0,37,3,86.58,72,54.55,1274,17,12,9,15,0,0,0,10,2,0,0,0,0,89,2,484,16,13,52.0,18,36.73,11,31,10,0,7,2,3,0.0,0,1,0.26,0,2,0,Wagner Pina,Trabzonspor,1513625,3051
2,0,0,24,53.33,2,18.18,7,50.0,9,3,78.33,26,46.43,798,8,2,11,11,0,0,0,13,2,0,0,0,0,74,5,206,14,5,16.67,13,61.9,6,4,1,1,16,4,7,12.5,0,4,1.21,0,0,0,Alassane Ndao,Konyaspor,1016033,3085
0,2,0,22,50.0,7,100.0,6,60.0,12,1,85.65,29,56.86,321,4,12,1,10,0,0,0,5,1,0,0,0,0,56,1,191,3,0,0.0,17,68.0,1,4,5,0,4,1,1,0.0,0,0,0.15,0,0,0,Demir Ege Tıknaz,Beşiktaş JK,1142613,3050
0,1,0,4,100.0,1,50.0,1,100.0,0,0,70.7,5,83.33,990,3,0,0,11,39,17,22,13,3,5,1,3,1,8,0,251,0,0,0.0,72,43.11,0,7,0,0,0,0,0,0.0,0,0,,3,1,0,Yahia Fofana,Çaykur Rizespor,877977,3064
2,2,0,34,82.93,45,65.22,2,100.0,23,0,84.75,79,71.82,1530,10,6,0,17,0,0,0,22,2,0,0,0,0,36,0,528,2,0,0.0,45,45.92,23,140,1,0,9,2,0,22.22,1,0,1.36,0,3,0,Dimitris Goutas,Gençlerbirliği,257497,7802
0,2,0,2,66.67,3,75.0,1,100.0,1,0,68.66,5,71.43,540,1,0,0,6,24,14,10,12,2,6,2,1,2,3,0,149,0,0,0.0,46,41.07,0,2,1,0,0,0,0,0.0,0,0,,2,0,0,Julián Cuesta,Antalyaspor,217110,3056
0,1,0,24,50.0,13,81.25,9,69.23,8,0,85.68,37,57.81,850,8,8,8,11,0,0,0,8,0,0,0,0,0,118,0,407,10,1,33.33,27,55.1,6,4,4,0,20,5,3,0.0,1,0,0.78,0,0,0,Olivier Ntcham,Samsunspor,352676,3053
0,4,0,45,55.56,48,75.0,3,42.86,16,1,88.88,93,64.14,1350,27,29,4,16,0,0,0,14,3,0,0,0,0,86,0,751,3,1,20.0,30,41.67,18,65,2,1,10,2,5,0.0,1,0,0.78,0,0,0,Jerome Opoku,Başakşehir FK,920514,3086
3,0,0,10,40.0,0,0.0,10,55.56,0,0,76.35,10,35.71,404,0,0,4,12,0,0,0,3,1,0,0,0,0,49,2,113,8,6,25.0,5,62.5,3,1,3,1,11,6,2,27.27,0,0,0.79,0,0,0,Ivan Brnić,Başakşehir FK,916182,3086
2,2,0,19,43.18,6,66.67,2,33.33,10,0,79.45,25,47.17,468,7,7,7,9,0,0,0,2,0,0,0,0,0,37,2,116,5,4,12.12,7,77.78,5,0,7,3,15,7,3,13.33,0,1,2.03,0,0,0,Abbosbek Fayzullaev,Başakşehir FK,1118429,3086
0,2,0,26,63.41,6,85.71,2,50.0,20,0,92.64,32,66.67,779,4,8,1,13,0,0,0,5,0,0,0,0,0,64,0,466,3,3,60.0,27,60.0,10,18,4,1,11,2,0,0.0,0,0,1.41,0,0,0,Mario Lemina,Galatasaray,307284,3061
1,4,0,43,55.13,11,40.74,9,42.86,6,4,79.3,54,51.43,1072,28,12,6,13,0,0,0,13,2,0,0,0,0,118,4,295,17,14,35.0,17,51.52,11,20,8,0,10,1,3,10.0,0,1,0.78,0,0,0,Mortadha Ben Ouanes,Kasımpaşa,919225,6063
3,4,0,58,45.31,16,53.33,15,65.22,30,0,77.97,74,46.84,1308,13,33,23,16,0,0,0,5,1,0,0,0,0,89,2,354,7,2,33.33,18,40.91,22,19,6,0,16,6,5,18.75,0,0,0.85,0,0,0,Anthony Junior Dennis,Göztepe,1484438,3054
1,2,0,51,57.3,10,50.0,12,52.17,19,0,80.5,61,55.96,713,20,12,15,11,0,0,0,10,1,0,0,0,0,61,1,194,4,0,0.0,7,41.18,7,15,1,0,11,2,2,9.09,0,1,0.57,0,0,0,Ibrahim Olawoyin,Çaykur Rizespor,1008173,3064
2,0,0,57,46.72,4,20.0,23,46.94,8,2,77.84,61,42.96,802,26,23,17,14,0,0,0,13,0,0,0,0,0,59,4,151,12,1,16.67,1,25.0,1,3,1,1,25,9,9,8.0,0,3,1.66,0,0,0,Christophe Lungoyi,Gaziantep FK,883355,5138
0,1,0,30,56.6,13,76.47,3,33.33,12,0,83.18,43,61.43,842,18,14,1,10,0,0,0,7,0,0,0,0,0,78,0,267,6,11,23.4,13,48.15,10,23,2,0,3,1,0,0.0,1,1,0.09,0,0,0,Massadio Haïdara,Kocaelispor,143344,3065
1,1,0,20,64.52,16,69.57,0,0.0,12,1,75.74,36,66.67,680,8,7,1,8,0,0,0,10,0,0,0,0,0,22,0,231,1,0,0.0,19,29.23,11,48,2,0,3,1,0,33.33,0,0,0.2,0,0,0,Veysel Sarı,Antalyaspor,98276,3056
0,1,0,67,63.21,2,22.22,16,45.71,21,0,78.65,69,60.0,902,30,4,10,12,0,0,0,9,0,0,0,0,0,53,1,221,4,2,11.11,15,48.39,8,17,8,0,14,10,1,0.0,2,1,0.51,0,1,0,Ruan,Alanyaspor,1400494,6362
2,3,0,51,56.04,6,46.15,11,45.83,13,1,79.38,57,54.81,880,27,13,8,13,0,0,0,8,0,0,0,0,0,105,4,231,25,26,34.67,12,57.14,4,6,8,3,22,7,4,9.09,0,2,1.48,0,0,0,Ianis Hagi,Alanyaspor,756344,6362
2,1,0,33,54.1,3,30.0,7,41.18,15,2,80.62,36,50.7,712,11,8,6,11,0,0,0,7,2,0,0,0,0,102,2,208,16,4,25.0,3,75.0,15,3,4,2,13,7,1,15.38,0,1,1.39,0,0,0,Dorgeles Nene,Fenerbahçe,1102788,3052
1,2,0,47,54.65,3,30.0,20,66.67,10,2,86.51,50,52.08,659,17,10,12,11,0,0,0,6,1,0,0,0,0,114,2,250,22,4,25.0,4,66.67,4,3,7,2,12,2,1,8.33,0,1,1.18,0,2,0,Amine Harit,Başakşehir FK,827522,3086
3,0,0,24,40.68,1,12.5,12,48.0,9,6,81.84,25,37.31,993,3,7,10,13,0,0,0,13,2,0,0,0,0,140,7,302,27,14,36.84,10,58.82,7,5,5,3,32,11,10,9.38,1,0,3.42,0,0,0,Václav Černý,Beşiktaş JK,280631,3050
9,0,0,6,30.0,9,36.0,4,66.67,0,0,76.64,15,33.33,734,2,4,5,16,0,0,0,7,0,0,0,0,0,38,1,105,7,1,16.67,4,30.77,0,11,3,6,36,16,4,25.0,2,2,7.12,0,0,0,Mauro Icardi,Galatasaray,233114,3061
3,2,0,91,53.53,12,52.17,23,40.35,14,1,81.68,103,53.37,1482,54,28,17,17,0,0,0,25,2,0,0,0,0,132,1,370,17,4,20.0,28,66.67,1,3,3,2,26,10,9,11.54,0,0,2.69,0,0,0,Kacper Kozłowski,Gaziantep FK,984602,5138
0,1,0,21,75.0,41,67.21,1,100.0,8,0,85.92,62,69.66,842,13,9,1,10,0,0,0,12,0,0,0,0,0,14,0,354,1,0,0.0,19,41.3,11,60,1,0,7,0,2,0.0,0,0,0.5,0,1,0,Luccas Claro,Eyüpspor,998209,7040
3,1,1,47,53.41,2,20.0,7,53.85,21,0,85.38,49,50.0,1017,19,17,13,12,0,0,0,12,0,0,0,0,0,67,1,216,11,0,0.0,0,0.0,5,5,6,3,17,10,1,17.65,0,3,2.15,0,0,0,Franco Tongya,Gençlerbirliği,965015,7802
0,2,1,47,58.75,4,57.14,12,54.55,13,4,81.92,51,58.62,892,23,11,9,12,0,0,0,12,2,0,0,0,0,124,6,290,19,7,25.93,26,68.42,3,3,5,1,12,3,3,0.0,0,2,0.81,0,0,0,João Mendes,Kayserispor,857376,3072
1,7,0,43,57.33,22,64.71,5,71.43,31,0,80.03,65,59.63,1046,9,18,1,13,0,0,0,13,2,0,0,0,0,73,1,521,4,3,21.43,37,38.54,19,68,11,0,6,2,2,16.67,0,1,0.41,1,0,0,Emirhan Topçu,Beşiktaş JK,895009,3050
1,1,0,19,67.86,9,60.0,5,62.5,8,2,79.15,28,65.12,862,7,3,1,14,0,0,0,8,0,0,0,0,0,109,4,315,11,18,26.87,23,42.59,2,14,3,0,8,3,4,12.5,1,0,1.05,0,0,0,Florent Hadergjonaj,Alanyaspor,354860,6362
0,3,0,26,50.98,35,60.34,0,0.0,17,0,87.76,61,55.96,1507,9,14,0,17,0,0,0,15,0,0,0,0,0,87,1,832,2,0,0.0,45,44.12,15,64,12,2,11,1,0,0.0,1,0,0.6,0,0,0,Nuno Lima,Alanyaspor,1133301,6362
0,2,0,66,53.23,9,60.0,18,56.25,32,3,87.83,75,53.96,1258,16,19,19,15,0,0,0,11,3,0,0,0,0,115,3,527,13,1,100.0,11,40.74,21,9,7,1,11,1,2,0.0,1,0,0.79,0,0,0,Tim Jabol-Folcarelli,Trabzonspor,1106446,3051
0,1,0,46,63.01,7,53.85,5,41.67,24,1,81.29,53,61.63,930,19,10,3,11,0,0,0,8,0,0,0,0,0,85,2,278,9,6,27.27,13,46.43,7,31,8,0,6,2,3,0.0,0,0,0.29,0,0,0,Calegari,Eyüpspor,988906,7040
0,0,0,4,66.67,0,0.0,0,0.0,3,0,100.0,4,66.67,18,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0.0,0,0.0,0,0,2,0,0,0,0,0.0,0,0,,0,0,0,Yiğit Emre Çeltik,Kayserispor,1035954,3072
0,1,0,2,66.67,1,100.0,0,0.0,0,0,69.29,3,75.0,720,3,0,0,8,33,21,11,15,0,5,3,0,3,7,0,167,0,0,0.0,29,30.21,0,6,1,0,0,0,0,0.0,0,0,,1,0,0,Zafer Görgen,Gaziantep FK,930907,5138
0,0,0,7,53.85,2,50.0,0,0.0,2,0,84.21,9,52.94,132,5,0,4,2,0,0,0,0,0,0,0,0,0,12,0,32,0,0,0.0,1,50.0,0,0,1,0,3,2,0,0.0,0,0,0.23,0,0,0,Landry Dimata,Samsunspor,826944,3053
0,1,0,5,50.0,1,100.0,0,0.0,5,0,95.79,6,54.55,100,0,3,0,5,0,0,0,1,0,0,0,0,0,32,0,91,2,0,0.0,5,71.43,0,1,2,0,3,2,1,0.0,0,0,0.07,0,0,0,Bartuğ Elmaz,Fenerbahçe,997165,3052
0,0,0,2,33.33,1,100.0,0,0.0,1,0,91.67,3,42.86,34,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0.0,1,100.0,2,1,2,0,1,0,1,0.0,0,0,0.03,0,0,0,Ali Osman Kalın,Gaziantep FK,2161813,5138
0,1,0,39,56.52,15,62.5,7,58.33,20,0,85.18,54,58.06,1080,12,7,8,12,0,0,0,8,2,0,0,0,0,119,1,431,7,9,20.45,27,64.29,7,27,10,0,6,1,3,0.0,0,0,0.16,0,1,0,Christopher Operi,Başakşehir FK,858977,3086
0,3,0,65,52.85,25,56.82,2,33.33,42,0,75.95,90,53.89,1427,21,27,11,16,0,0,0,19,2,0,0,0,0,105,0,360,8,1,33.33,28,38.36,17,46,18,0,16,1,3,0.0,0,0,0.46,0,1,0,Andri Baldursson,Kasımpaşa,932856,6063
4,3,0,50,42.74,4,30.77,28,49.12,10,1,72.08,54,41.54,1175,12,13,20,15,0,0,0,13,0,0,0,0,0,85,9,204,15,7,18.92,3,21.43,1,2,8,7,40,10,11,10.0,1,1,4.63,0,0,1,Anthony Musaba,Samsunspor,979473,3053
1,1,0,37,50.68,6,50.0,3,30.0,20,2,84.21,43,50.59,815,14,14,7,12,0,0,0,6,1,0,0,0,0,65,1,304,7,0,0.0,17,65.38,5,8,9,0,7,2,0,14.29,0,0,0.14,0,2,0,Habib Keita,Kocaelispor,1082953,3065
0,3,0,26,59.09,59,62.11,1,50.0,19,1,74.85,85,61.15,1530,6,14,2,17,0,0,0,7,2,0,0,0,0,24,1,250,4,0,0.0,34,47.22,15,112,2,1,18,2,5,0.0,1,3,0.87,0,1,0,Héliton,Göztepe,922725,3054
5,1,0,32,40.0,39,41.94,2,12.5,9,0,58.45,71,41.04,839,22,10,21,11,0,0,0,11,2,0,0,0,0,47,1,121,8,1,33.33,6,54.55,1,13,6,4,17,9,2,29.41,1,6,4.52,0,0,0,Bruno Petković,Kocaelispor,309306,3065
0,1,0,41,71.93,17,68.0,2,100.0,29,0,87.56,58,70.73,1100,14,7,2,16,0,0,0,19,3,0,0,0,0,42,0,380,4,4,80.0,21,53.85,15,44,7,0,2,0,1,0.0,0,1,0.07,0,0,0,Jesper Ceesay,Antalyaspor,1021269,3056
3,1,0,34,39.08,11,47.83,9,33.33,8,2,75.94,45,40.91,766,17,8,17,15,0,0,0,14,1,0,0,0,0,66,5,161,13,12,23.53,8,50.0,5,12,10,0,23,7,11,13.04,0,8,1.83,0,0,1,Metehan Mimaroğlu,Gençlerbirliği,900809,7802
0,3,0,42,49.41,12,46.15,6,46.15,24,1,88.73,54,48.65,705,12,18,9,9,0,0,0,6,2,0,0,0,0,70,0,441,8,0,0.0,18,54.55,14,9,12,0,9,4,1,0.0,0,1,0.46,1,3,0,Edson Álvarez,Fenerbahçe,847151,3052
4,2,1,41,44.09,47,58.02,14,51.85,12,4,69.5,88,50.57,970,15,21,15,12,0,0,0,15,1,0,0,0,0,85,1,180,18,2,40.0,4,40.0,4,7,7,8,25,14,5,16.0,1,9,5.06,0,0,0,El Bilal Touré,Beşiktaş JK,982615,3050
7,1,0,10,38.46,20,42.55,2,33.33,4,0,76.35,30,41.1,948,4,9,2,15,0,0,0,7,3,0,0,0,0,37,2,113,5,1,33.33,5,83.33,1,6,1,7,36,15,5,19.44,3,4,8.42,0,0,0,Youssef En-Nesyri,Fenerbahçe,846470,3052
0,1,0,22,70.97,2,33.33,4,80.0,10,1,82.26,24,64.86,352,8,4,0,8,0,0,0,4,0,0,0,0,0,23,1,102,3,2,40.0,5,50.0,10,17,5,1,3,1,0,0.0,0,4,0.35,0,0,0,Enes Keskin,Alanyaspor,897168,6362
0,1,0,40,63.49,3,50.0,8,80.0,14,1,84.33,43,62.32,1011,18,9,8,12,0,0,0,14,1,0,0,0,0,40,1,296,5,0,0.0,23,69.7,11,19,5,0,10,2,5,0.0,1,0,0.31,0,1,0,Tom Dele-Bashiru,Gençlerbirliği,904845,7802
0,4,1,45,59.21,19,55.88,10,71.43,22,0,89.22,64,58.18,1281,13,20,2,15,0,0,0,9,3,0,0,0,0,113,0,786,5,3,33.33,21,32.31,14,43,5,2,10,2,1,0.0,1,0,1.27,0,0,0,Jayden Oosterwolde,Fenerbahçe,1048324,3052
5,1,0,58,48.74,15,40.54,9,69.23,32,1,81.1,73,46.79,1374,17,20,13,17,0,0,0,14,1,0,0,0,0,120,1,429,17,0,0.0,14,46.67,13,6,28,4,29,13,4,17.24,0,0,3.69,0,1,0,Carlo Holse,Samsunspor,837012,3053
0,0,0,31,60.78,13,46.43,4,57.14,19,1,79.48,44,55.7,1017,9,6,4,14,0,0,0,14,2,0,0,0,0,87,3,368,13,8,23.53,29,53.7,17,39,7,0,2,1,1,0.0,0,1,0.05,1,1,0,Luis Pérez,Gaziantep FK,843180,5138
0,1,0,16,61.54,1,20.0,2,28.57,7,0,82.35,17,54.84,288,7,4,1,8,0,0,0,3,0,0,0,0,0,57,1,112,9,10,45.45,9,64.29,2,0,1,1,9,2,5,0.0,1,5,0.7,0,0,0,İrfan Can Kahveci,Fenerbahçe,226986,3052
1,0,1,49,56.98,12,34.29,5,45.45,31,1,85.87,61,50.41,1040,14,25,10,15,0,0,0,3,1,0,0,0,0,120,0,316,16,9,42.86,15,50.0,13,10,2,1,15,5,4,6.67,0,1,1.22,0,0,0,Rhaldney,Göztepe,992024,3054
0,3,0,68,64.76,13,61.9,9,56.25,41,2,77.88,81,64.29,1344,20,13,4,17,0,0,0,24,2,0,0,0,0,100,2,405,13,11,45.83,37,47.44,17,57,15,0,0,0,0,0.0,0,3,,0,0,0,Bünyamin Balcı,Antalyaspor,967214,3056
0,2,0,4,100.0,1,100.0,0,0.0,2,0,67.59,5,100.0,1530,2,0,0,17,42,18,23,19,1,6,4,4,4,8,0,294,1,0,0.0,79,36.07,0,9,0,0,0,0,0,0.0,0,0,,1,0,0,Okan Kocuk,Samsunspor,190179,3053
6,0,0,22,40.74,10,41.67,14,66.67,6,0,72.31,32,41.03,953,2,3,20,12,0,0,0,15,3,0,0,0,0,31,1,94,10,2,40.0,1,25.0,1,6,2,7,26,11,6,23.08,0,5,6.29,0,0,0,Mohamed Bayo,Gaziantep FK,909318,5138
6,4,0,22,36.07,33,61.11,2,16.67,6,0,73.57,55,47.83,857,14,19,11,12,0,0,0,7,0,0,0,0,0,51,2,103,12,3,42.86,1,20.0,2,11,0,9,42,21,4,14.29,2,13,6.23,1,0,0,Victor Osimhen,Galatasaray,822471,3061
2,1,0,26,53.06,5,38.46,8,72.73,13,0,82.64,31,50.0,513,5,8,4,12,0,0,0,9,1,0,0,0,0,44,1,119,4,0,0.0,9,75.0,1,5,8,3,10,3,1,20.0,0,7,2.23,0,0,0,Halil Akbunar,Eyüpspor,217782,7040
0,1,0,12,80.0,7,63.64,1,100.0,7,0,92.59,19,73.08,234,4,3,0,10,0,0,0,2,0,0,0,0,0,22,1,150,1,1,33.33,13,61.9,1,4,0,0,4,0,0,0.0,0,0,0.28,0,0,0,Kaan Ayhan,Galatasaray,138152,3061
1,2,0,42,48.84,6,33.33,12,38.71,13,3,77.47,48,46.15,962,17,9,9,13,0,0,0,7,3,0,0,0,0,126,4,251,29,15,24.59,8,53.33,5,1,7,1,17,8,4,5.88,1,5,1.43,0,1,0,Kerem Aktürkoğlu,Fenerbahçe,903324,3052
1,1,0,34,54.84,9,50.0,3,60.0,18,0,91.09,43,53.75,831,13,13,7,13,0,0,0,8,0,0,0,0,0,80,0,368,2,3,33.33,15,75.0,8,10,9,0,6,2,1,16.67,0,0,0.49,0,0,0,Umut Güneş,Başakşehir FK,876782,3086
7,3,0,18,29.51,23,48.94,3,25.0,4,1,74.61,41,37.96,1169,12,24,11,17,0,0,0,14,2,0,0,0,0,58,1,144,12,0,0.0,4,36.36,5,13,6,10,30,15,5,23.33,1,8,8.02,0,0,0,Tammy Abraham,Beşiktaş JK,610766,3050
1,3,0,47,51.09,8,38.1,6,33.33,24,2,76.04,55,48.67,913,17,13,7,12,0,0,0,12,1,0,0,0,0,107,4,219,15,4,13.79,10,58.82,2,6,14,2,18,6,7,5.56,0,0,1.67,0,0,0,Emre Kılınç,Samsunspor,202032,3053
